listing_id,url,title,host_id,location_city,location_province,rv_type,rv_year,rv_make,rv_model,length_ft,sleeps,num_slide_outs,weight_lbs,hitch_size,hitch_weight_lbs,base_price,security_deposit,pet_friendly,delivery_available,delivery_max_km,delivery_price_per_km,overall_rating,num_reviews,accuracy_rating,value_rating,cleanliness_rating,communication_rating,flexible_pickup,flexible_dropoff,towing_experience_required,host_name,response_rate,is_superhost
252,https://www.rvezy.com/rv-rental/alberta_milk-river_motorhome_classc_forest-river_sunseeker,Rent my 2015 Forest River sunseeker from $264/night | RVezy,252.0,Calgary,AB,Class C,2015.0,Forest,River sunseeker,28.0,728,2.0,,,,264.0,1.0,0,0,,,4.8,9.0,4.8,4.7,4.9,4.7,0,0,0,kam,100.0,0.0
253,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_dutchmen_aspen-trail_2,Rent my 2021 Dutchmen Aspen Trail from $132/night | RVezy,253.0,Calgary,AB,Travel Trailer,2021.0,Dutchmen,Aspen Trail,21.0,621,,3200.0,"2 5/16""",407.0,132.0,1.0,0,1,200.0,4.0,4.8,27.0,4.8,4.8,4.8,4.8,1,1,0,Jingke,86.0,0.0
255,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_other_grey-wolf26dbh_a5523d,Rent my 2021 Cherokee grey wolf Grey wolf26DBH from $150/night | RVezy,255.0,Calgary,AB,Travel Trailer,2021.0,Cherokee,grey wolf Grey wolf26DBH,32.0,832,1.0,5400.0,"2 5/16""",621.0,150.0,1.0,0,1,200.0,2.5,,,,,,,1,1,1,Samir,66.0,0.0
256,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_jayco_26bhsw,Rent my 2016 Jayco 26BHSW from $150/night | RVezy,256.0,Calgary,AB,Travel Trailer,2016.0,Jayco,26BHSW,26.0,826,1.0,4500.0,"2""",,150.0,1.0,0,0,,,4.9,38.0,4.9,4.9,4.9,4.9,1,1,0,Brian,100.0,0.0
257,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_microtrailer_intech_pursue_17050e,Rent my 2018 inTech Pursue from $115/night | RVezy,257.0,Calgary,AB,Travel Trailer,2018.0,inTech,Pursue,13.0,213,,1195.0,"2""",240.0,115.0,1.0,0,0,,,5.0,2.0,5.0,5.0,5.0,5.0,1,1,0,Raymond,93.0,0.0
260,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_campervan_other_gmc-savana-2500-diesel_887754,Rent my 2006 GMC Savana 2500 Diesel GMC Savana 2500 Diesel from $217/night | RVezy,260.0,Calgary,AB,,2006.0,GMC,Savana 2500 Diesel GMC Savana 2500 Diesel,20.0,220,,,,,217.0,1.0,0,1,100.0,3.5,,,,,,,1,1,0,Karolina,100.0,0.0
261,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_campervan_other_glampervan_bfa5ed,Rent my 2011 Glacier Campers Glampervan from $229/night | RVezy,261.0,Calgary,AB,,2011.0,Glacier,Campers Glampervan,22.0,222,,,,,229.0,500.0,1,0,,,,,,,,,0,0,0,Mandy,93.0,0.0
262,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_other_freeman-express-297-rlds_c6cdd5,Rent my 2014 Coachman freedom express Freeman express 297 rlds from $144/night | RVezy,262.0,Calgary,AB,Travel Trailer,2014.0,Coachman,freedom express Freeman express 297 rlds,35.0,635,2.0,6499.0,"2 5/16""",798.0,144.0,1.0,0,1,115.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,0,0,1,Kayla,100.0,0.0
263,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_toyhauler_forest-river_sandstorm_85890d,Rent my 2013 Forest River Sandstorm from $144/night | RVezy,263.0,Calgary,AB,Travel Trailer,2013.0,Forest,River Sandstorm,29.0,529,,7800.0,"2""",7800.0,144.0,1.0,1,1,100.0,2.0,,,4.0,3.0,4.0,5.0,0,0,1,Crystal,87.0,0.0
265,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_campervan_dodge_journey_3bbb76,Rent my 2009 Dodge Journey from $126/night | RVezy,265.0,Calgary,AB,,2009.0,Dodge,Journey,16.0,216,,,,,126.0,2.0,0,0,,,,,,,,,1,1,0,GT,100.0,0.0
